"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "HTML", "Vue", "comment", "blank", "total"
"d:\WebProjects\trading\server\service\GoodsService.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 9, 1, 93
"d:\WebProjects\trading\server\service\ImageService.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 1, 15
"d:\WebProjects\trading\server\service\OrderService.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 4, 1, 34
"d:\WebProjects\trading\server\service\UserService.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 5, 1, 39
"d:\WebProjects\trading\server\tsconfig.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\WebProjects\trading\static\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 18
"d:\WebProjects\trading\static\json\map.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WebProjects\trading\vue.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\WebProjects\trading\webpack.common.js", "JavaScript", 0, 0, 69, 0, 0, 0, 8, 0, 77
"d:\WebProjects\trading\webpack.dev.js", "JavaScript", 0, 0, 9, 0, 0, 0, 3, 1, 13
"d:\WebProjects\trading\webpack.prod.js", "JavaScript", 0, 0, 5, 0, 0, 0, 2, 1, 8
"Total", "-", 9931, 0, 96, 1136, 18, 2152, 144, 103, 13580
